title,imdb_poster,imdb_place,imdb_score,filmweb_poster,filmweb_place,filmweb_score
The Shawshank Redemption,"http://ia.media-imdb.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_SX34_CR0,0,34,50_AL_.jpg",1,9.2,http://1.fwcdn.pl/po/10/48/1048/6925401.4.jpg,1,8.0
The Godfather,"http://ia.media-imdb.com/images/M/MV5BMjEyMjcyNDI4MF5BMl5BanBnXkFtZTcwMDA5Mzg3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",2,9.2,http://1.fwcdn.pl/po/10/89/1089/7196615.4.jpg,3,8.0
The Godfather: Part II,"http://ia.media-imdb.com/images/M/MV5BNDc2NTM3MzU1Nl5BMl5BanBnXkFtZTcwMTA5Mzg3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",3,9.0,http://1.fwcdn.pl/po/10/90/1090/7196616.4.jpg,8,8.0
The Dark Knight,"http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX34_CR0,0,34,50_AL_.jpg",4,8.9,http://1.fwcdn.pl/po/63/51/236351/7198307.4.jpg,52,7.0
Pulp Fiction,"http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1_SY50_CR0,0,34,50_AL_.jpg",5,8.9,,,
Schindler's List,"http://ia.media-imdb.com/images/M/MV5BMzMwMTM4MDU2N15BMl5BanBnXkFtZTgwMzQ0MjMxMDE@._V1_SX34_CR0,0,34,50_AL_.jpg",6,8.9,http://1.fwcdn.pl/po/12/11/1211/7254286.4.jpg,11,8.0
12 Angry Men,"http://ia.media-imdb.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX34_CR0,0,34,50_AL_.jpg",7,8.9,http://1.fwcdn.pl/po/07/01/30701/7492190.4.jpg,7,8.0
"The Good, the Bad and the Ugly","http://ia.media-imdb.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SX34_CR0,0,34,50_AL_.jpg",8,8.9,,,
The Lord of the Rings: The Return of the King,"http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",9,8.9,http://1.fwcdn.pl/po/18/41/11841/7494142.4.jpg,10,8.0
Fight Club,"http://ia.media-imdb.com/images/M/MV5BMjIwNTYzMzE1M15BMl5BanBnXkFtZTcwOTE5Mzg3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",10,8.8,http://1.fwcdn.pl/po/08/37/837/7522091.4.jpg,15,8.0
The Lord of the Rings: The Fellowship of the Ring,"http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_SY50_CR0,0,34,50_AL_.jpg",11,8.8,http://1.fwcdn.pl/po/10/65/1065/6900087.4.jpg,40,8.0
Star Wars: Episode V - The Empire Strikes Back,"http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_SX34_CR0,0,34,50_AL_.jpg",12,8.7,http://1.fwcdn.pl/po/05/25/525/7371374.4.jpg,34,8.0
Forrest Gump,"http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1_SX34_CR0,0,34,50_AL_.jpg",13,8.7,,,
Inception,"http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX34_CR0,0,34,50_AL_.jpg",14,8.7,http://1.fwcdn.pl/po/08/91/500891/7354571.4.jpg,20,8.0
One Flew Over the Cuckoo's Nest,"http://ia.media-imdb.com/images/M/MV5BMTk5OTA4NTc0NF5BMl5BanBnXkFtZTcwNzI5Mzg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",15,8.7,http://1.fwcdn.pl/po/10/19/1019/7386645.4.jpg,6,8.0
The Lord of the Rings: The Two Towers,"http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_SY50_CR0,0,34,50_AL_.jpg",16,8.7,http://1.fwcdn.pl/po/14/51/31451/6900425.4.jpg,13,8.0
Goodfellas,"http://ia.media-imdb.com/images/M/MV5BMTY2OTE5MzQ3MV5BMl5BanBnXkFtZTgwMTY2NTYxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",17,8.7,http://1.fwcdn.pl/po/10/33/1033/6941458.4.jpg,18,8.0
The Matrix,"http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",18,8.7,,,
Star Wars: Episode IV - A New Hope,"http://ia.media-imdb.com/images/M/MV5BMTU4NTczODkwM15BMl5BanBnXkFtZTcwMzEyMTIyMw@@._V1_SX34_CR0,0,34,50_AL_.jpg",19,8.7,,,
Seven Samurai,"http://ia.media-imdb.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_SY50_CR1,0,34,50_AL_.jpg",20,8.7,,,
City of God,"http://ia.media-imdb.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_SX34_CR0,0,34,50_AL_.jpg",21,8.6,,,
Se7en,"http://ia.media-imdb.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_SX34_CR0,0,34,50_AL_.jpg",22,8.6,http://1.fwcdn.pl/po/07/02/702/6967799.4.jpg,12,8.0
The Usual Suspects,"http://ia.media-imdb.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_SX34_CR0,0,34,50_AL_.jpg",23,8.6,,,
The Silence of the Lambs,"http://ia.media-imdb.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_SX34_CR0,0,34,50_AL_.jpg",24,8.6,http://1.fwcdn.pl/po/10/47/1047/7241863.4.jpg,16,8.0
It's a Wonderful Life,"http://ia.media-imdb.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX34_CR0,0,34,50_AL_.jpg",25,8.6,,,
Interstellar,"http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX34_CR0,0,34,50_AL_.jpg",26,8.6,,,
Léon: The Professional,"http://ia.media-imdb.com/images/M/MV5BMTgzMzg4MDkwNF5BMl5BanBnXkFtZTcwODAwNDg3OA@@._V1_SY50_CR0,0,34,50_AL_.jpg",27,8.6,,,
Life Is Beautiful,"http://ia.media-imdb.com/images/M/MV5BMTQwMTM2MjE4Ml5BMl5BanBnXkFtZTgwODQ2NTYxMTE@._V1_SX34_CR0,0,34,50_AL_.jpg",28,8.6,,,
Once Upon a Time in the West,"http://ia.media-imdb.com/images/M/MV5BMTEyODQzNDkzNjVeQTJeQWpwZ15BbWU4MDgyODk1NDEx._V1_SY50_CR0,0,34,50_AL_.jpg",29,8.6,,,
Casablanca,"http://ia.media-imdb.com/images/M/MV5BMjQwNDYyNTk2N15BMl5BanBnXkFtZTgwMjQ0OTMyMjE@._V1_SX34_CR0,0,34,50_AL_.jpg",30,8.5,,,
American History X,"http://ia.media-imdb.com/images/M/MV5BMjMzNDUwNTIyMF5BMl5BanBnXkFtZTcwNjMwNDg3OA@@._V1_SY50_CR2,0,34,50_AL_.jpg",31,8.5,http://1.fwcdn.pl/po/06/33/30633/7237666.4.jpg,25,8.0
Saving Private Ryan,"http://ia.media-imdb.com/images/M/MV5BNjczODkxNTAxN15BMl5BanBnXkFtZTcwMTcwNjUxMw@@._V1_SY50_CR1,0,34,50_AL_.jpg",32,8.5,http://1.fwcdn.pl/po/01/79/179/7002607.4.jpg,30,8.0
Spirited Away,"http://ia.media-imdb.com/images/M/MV5BMjYxMDcyMzIzNl5BMl5BanBnXkFtZTYwNDg2MDU3._V1_SY50_CR0,0,34,50_AL_.jpg",33,8.5,,,
Raiders of the Lost Ark,"http://ia.media-imdb.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX34_CR0,0,34,50_AL_.jpg",34,8.5,,,
